Ref,Val,Package,PosX,PosY,Rot,Side
"KEY_#1","MX-NoLED","MXOnly-1U-NoLED",254.793750,50.006250,0.000000,top
"KEY_#2","MX-NoLED","MXOnly-1.5U-NoLED",273.843750,69.056250,0.000000,top
"KEY_'1","MX-NoLED","MXOnly-1U-NoLED",235.743750,50.006250,0.000000,top
"KEY_,1","MX-NoLED","MXOnly-1U-NoLED",188.118750,30.956250,0.000000,top
"KEY_-1","MX-NoLED","MXOnly-1U-NoLED",221.456250,88.106250,0.000000,top
"KEY_.1","MX-NoLED","MXOnly-1U-NoLED",207.168750,30.956250,0.000000,top
"KEY_/1","MX-NoLED","MXOnly-1U-NoLED",226.218750,30.956250,0.000000,top
"KEY_0","MX-NoLED","MXOnly-1U-NoLED",202.406250,88.106250,0.000000,top
"KEY_1","MX-NoLED","MXOnly-1U-NoLED",30.956250,88.106250,0.000000,top
"KEY_2","MX-NoLED","MXOnly-1U-NoLED",50.006250,88.106250,0.000000,top
"KEY_3","MX-NoLED","MXOnly-1U-NoLED",69.056250,88.106250,0.000000,top
"KEY_4","MX-NoLED","MXOnly-1U-NoLED",88.106250,88.106250,0.000000,top
"KEY_5","MX-NoLED","MXOnly-1U-NoLED",107.156250,88.106250,0.000000,top
"KEY_6","MX-NoLED","MXOnly-1U-NoLED",126.206250,88.106250,0.000000,top
"KEY_7","MX-NoLED","MXOnly-1U-NoLED",145.256250,88.106250,0.000000,top
"KEY_8","MX-NoLED","MXOnly-1U-NoLED",164.306250,88.106250,0.000000,top
"KEY_9","MX-NoLED","MXOnly-1U-NoLED",183.356250,88.106250,0.000000,top
"KEY_;1","MX-NoLED","MXOnly-1U-NoLED",216.693750,50.006250,0.000000,top
"KEY_=1","MX-NoLED","MXOnly-1U-NoLED",240.506250,88.106250,0.000000,top
"KEY_A1","MX-NoLED","MXOnly-1U-NoLED",45.243750,50.006250,0.000000,top
"KEY_B1","MX-NoLED","MXOnly-1U-NoLED",130.968750,30.956250,0.000000,top
"KEY_BACKSPACE1","MX-NoLED","MXOnly-2U-NoLED",269.081250,88.106250,0.000000,top
"KEY_C1","MX-NoLED","MXOnly-1U-NoLED",92.868750,30.956250,0.000000,top
"KEY_CAPS1","MX-NoLED","MXOnly-1.75U-NoLED",19.050000,50.006250,0.000000,top
"KEY_D1","MX-NoLED","MXOnly-1U-NoLED",83.343750,50.006250,0.000000,top
"KEY_DELETE1","MX-NoLED","MXOnly-1U-NoLED",307.181250,69.056250,0.000000,top
"KEY_DOWN1","MX-NoLED","MXOnly-1U-NoLED",326.231250,11.906250,0.000000,top
"KEY_E1","MX-NoLED","MXOnly-1U-NoLED",78.581250,69.056250,0.000000,top
"KEY_END1","MX-NoLED","MXOnly-1U-NoLED",326.231250,69.056250,0.000000,top
"KEY_ENTER1","MX-NoLED","MXOnly-ISO-ROTATED-NoLED-NoStabilizers",276.225000,59.531250,0.000000,top
"KEY_ENTER2","MX-NoLED","MXOnly-2.25U-NoLED",266.700000,50.006250,0.000000,top
"KEY_ESC1","MX-NoLED","MXOnly-1U-NoLED",11.906250,88.106250,0.000000,top
"KEY_F1","MX-NoLED","MXOnly-1U-NoLED",102.393750,50.006250,0.000000,top
"KEY_FN1","MX-NoLED","MXOnly-1.25U-NoLED",228.600000,11.906250,0.000000,top
"KEY_G1","MX-NoLED","MXOnly-1U-NoLED",121.443750,50.006250,0.000000,top
"KEY_H1","MX-NoLED","MXOnly-1U-NoLED",140.493750,50.006250,0.000000,top
"KEY_HOME1","MX-NoLED","MXOnly-1U-NoLED",326.231250,88.106250,0.000000,top
"KEY_I1","MX-NoLED","MXOnly-1U-NoLED",173.831250,69.056250,0.000000,top
"KEY_INSERT1","MX-NoLED","MXOnly-1U-NoLED",307.181250,88.106250,0.000000,top
"KEY_J1","MX-NoLED","MXOnly-1U-NoLED",159.543750,50.006250,0.000000,top
"KEY_K1","MX-NoLED","MXOnly-1U-NoLED",178.593750,50.006250,0.000000,top
"KEY_L1","MX-NoLED","MXOnly-1U-NoLED",197.643750,50.006250,0.000000,top
"KEY_LALT1","MX-NoLED","MXOnly-1.25U-NoLED",61.912500,11.906250,0.000000,top
"KEY_LCTRL1","MX-NoLED","MXOnly-1.25U-NoLED",14.287500,11.906250,0.000000,top
"KEY_LEFT1","MX-NoLED","MXOnly-1U-NoLED",307.181250,11.906250,0.000000,top
"KEY_LGUI1","MX-NoLED","MXOnly-1.25U-NoLED",38.100000,11.906250,0.000000,top
"KEY_LSHIFT1","MX-NoLED","MXOnly-1.25U-NoLED",14.287500,30.956250,0.000000,top
"KEY_LSHIFT2","MX-NoLED","MXOnly-2.25U-NoLED",23.812500,30.956250,0.000000,top
"KEY_M1","MX-NoLED","MXOnly-1U-NoLED",169.068750,30.956250,0.000000,top
"KEY_MENU1","MX-NoLED","MXOnly-1.25U-NoLED",252.412500,11.906250,0.000000,top
"KEY_N1","MX-NoLED","MXOnly-1U-NoLED",150.018750,30.956250,0.000000,top
"KEY_O1","MX-NoLED","MXOnly-1U-NoLED",192.881250,69.056250,0.000000,top
"KEY_P1","MX-NoLED","MXOnly-1U-NoLED",211.931250,69.056250,0.000000,top
"KEY_PAGEDOWN1","MX-NoLED","MXOnly-1U-NoLED",345.281250,69.056250,0.000000,top
"KEY_PAGEUP1","MX-NoLED","MXOnly-1U-NoLED",345.281250,88.106250,0.000000,top
"KEY_Q1","MX-NoLED","MXOnly-1U-NoLED",40.481250,69.056250,0.000000,top
"KEY_R1","MX-NoLED","MXOnly-1U-NoLED",97.631250,69.056250,0.000000,top
"KEY_RALT1","MX-NoLED","MXOnly-1.25U-NoLED",204.787500,11.906250,0.000000,top
"KEY_RCTRL1","MX-NoLED","MXOnly-1.25U-NoLED",276.225000,11.906250,0.000000,top
"KEY_RIGHT1","MX-NoLED","MXOnly-1U-NoLED",345.281250,11.906250,0.000000,top
"KEY_RSHIFT1","MX-NoLED","MXOnly-2.75U-NoLED",261.937500,30.956250,0.000000,top
"KEY_S1","MX-NoLED","MXOnly-1U-NoLED",64.293750,50.006250,0.000000,top
"KEY_SPACE1","MX-NoLED","MXOnly-6.25U-NoLED",133.350000,11.906250,0.000000,top
"KEY_T1","MX-NoLED","MXOnly-1U-NoLED",116.681250,69.056250,0.000000,top
"KEY_TAB1","MX-NoLED","MXOnly-1.5U-NoLED",16.668750,69.056250,0.000000,top
"KEY_U1","MX-NoLED","MXOnly-1U-NoLED",154.781250,69.056250,0.000000,top
"KEY_UP1","MX-NoLED","MXOnly-1U-NoLED",326.231250,30.956250,0.000000,top
"KEY_V1","MX-NoLED","MXOnly-1U-NoLED",111.918750,30.956250,0.000000,top
"KEY_W1","MX-NoLED","MXOnly-1U-NoLED",59.531250,69.056250,0.000000,top
"KEY_X1","MX-NoLED","MXOnly-1U-NoLED",73.818750,30.956250,0.000000,top
"KEY_Y1","MX-NoLED","MXOnly-1U-NoLED",54.768750,30.956250,0.000000,top
"KEY_Z1","MX-NoLED","MXOnly-1U-NoLED",135.731250,69.056250,0.000000,top
"KEY_[1","MX-NoLED","MXOnly-1U-NoLED",230.981250,69.056250,0.000000,top
"KEY_\1","MX-NoLED","MXOnly-1U-NoLED",35.718750,30.956250,0.000000,top
"KEY_]1","MX-NoLED","MXOnly-1U-NoLED",250.031250,69.056250,0.000000,top
